Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q3,0.0538671,1500.103
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q3,0.042405,1800.063
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q3,0.0630485,1995.438
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q3,0.0408455,1882.315
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q3,0.0120257,503.498
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q3,0.0063093,193.414
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q3,0.0372983,1186.325
Industry groups,Education and training,SG01RSC04B01PP1,1987Q3,0.0388231,1443.12
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q3,0.0421132,1279.851
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q3,0.007863,327.531
Industry groups,Other services,SG01RSC04B01RS2,1987Q3,0.0170951,466.704
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q3,0.0680429,1744.93
Industry groups,Agriculture,SG01RSC04B01AA1,1987Q4,0.049996,1733.082
Industry groups,Forestry and logging,SG01RSC04B01AA2,1987Q4,0.0042006,133.521
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1987Q4,0.0067661,206.836
Industry groups,Mining,SG01RSC04B01BB1,1987Q4,0.0140206,647.162
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1987Q4,0.0564287,1095.274
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1987Q4,0.0140132,293.936
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1987Q4,0.0191522,379.885
Industry groups,Printing,SG01RSC04B01CC4,1987Q4,0.007346,223.299
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1987Q4,0.0381132,680.676
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1987Q4,0.0060588,188.404
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1987Q4,0.0187164,537.932
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1987Q4,0.0286368,927.937
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1987Q4,0.0054366,188.839
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1987Q4,0.0297694,1114.261
Industry groups,Construction,SG01RSC04B01EE1,1987Q4,0.0500788,1640.57
Industry groups,Wholesale trade,SG01RSC04B01FF1,1987Q4,0.0574564,1436.549
Industry groups,Retail trade,SG01RSC04B01GH1,1987Q4,0.0502522,1170.321
Industry groups,Accommodation services,SG01RSC04B01GH2,1987Q4,0.0169034,691.694
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1987Q4,0.0535779,1015.462
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1987Q4,0.04334,450.045
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q4,0.0538671,1501.024
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q4,0.042405,1767.263
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q4,0.0630485,1998.468
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q4,0.0408455,1889.635
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q4,0.0120257,518.277
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q4,0.0063093,198.38
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q4,0.0372983,1178.559
Industry groups,Education and training,SG01RSC04B01PP1,1987Q4,0.0388231,1447.877
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q4,0.0421132,1283.115
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q4,0.007863,341.034
Industry groups,Other services,SG01RSC04B01RS2,1987Q4,0.0170951,471.942
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q4,0.0680429,1843.176
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q1,0.049996,1766.794
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q1,0.0042006,128.67
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q1,0.0067661,200.597
Industry groups,Mining,SG01RSC04B01BB1,1988Q1,0.0140206,664.949
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q1,0.0564287,1140.911
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q1,0.0140132,302.262
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q1,0.0191522,355.954
Industry groups,Printing,SG01RSC04B01CC4,1988Q1,0.007346,213.27
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q1,0.0381132,712.469
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q1,0.0060588,174.815
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q1,0.0187164,521.497
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q1,0.0286368,883.324
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q1,0.0054366,186.035
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q1,0.0297694,1122.794
Industry groups,Construction,SG01RSC04B01EE1,1988Q1,0.0500788,1660.553
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q1,0.0574564,1520.61
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q1,0.0502522,1160.034
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q1,0.0169034,672.304
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q1,0.0535779,1041.182
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q1,0.04334,448.643
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q1,0.0538671,1477.57
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q1,0.042405,1735.041
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q1,0.0630485,1982.564
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q1,0.0408455,1881.519
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q1,0.0120257,521.138
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q1,0.0063093,201.152
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q1,0.0372983,1176.931
Industry groups,Education and training,SG01RSC04B01PP1,1988Q1,0.0388231,1454.036
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q1,0.0421132,1266.06
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q1,0.007863,342.261
Industry groups,Other services,SG01RSC04B01RS2,1988Q1,0.0170951,465.323
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q1,0.0680429,1721.973
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q2,0.051223,1697.952
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q2,0.0065686,149.492
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q2,0.0073041,230.955
Industry groups,Mining,SG01RSC04B01BB1,1988Q2,0.0125354,624.488
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q2,0.0569065,1188.737
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q2,0.0115823,294.312
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q2,0.0178904,366.954
Industry groups,Printing,SG01RSC04B01CC4,1988Q2,0.0072324,215.022
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q2,0.0397232,710.64
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q2,0.0059639,183.693
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q2,0.0177585,545.051
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q2,0.0254239,854.06
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q2,0.0049409,176.877
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q2,0.0309242,1086.646
Industry groups,Construction,SG01RSC04B01EE1,1988Q2,0.0468183,1537.61
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q2,0.0583804,1467.245
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q2,0.0486346,1137.968
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q2,0.0154779,659.067
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q2,0.0542121,1057.866
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q2,0.044038,450.886
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q2,0.0499487,1441.762
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q2,0.0455318,1761.762
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q2,0.0713577,1947.84
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q2,0.0448051,1936.092
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q2,0.012779,533.075
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q2,0.0070176,205.967
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q2,0.0385776,1170.425
Industry groups,Education and training,SG01RSC04B01PP1,1988Q2,0.0394615,1461.608
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q2,0.0425844,1314.983
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q2,0.0087499,334.82
Industry groups,Other services,SG01RSC04B01RS2,1988Q2,0.0168296,449.926
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q2,0.0588185,1703.878
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q3,0.051223,1629.677
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q3,0.0065686,155.138
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q3,0.0073041,240.994
Industry groups,Mining,SG01RSC04B01BB1,1988Q3,0.0125354,587.593
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q3,0.0569065,1120.477
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q3,0.0115823,297.306
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q3,0.0178904,359.284
Industry groups,Printing,SG01RSC04B01CC4,1988Q3,0.0072324,218.235
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q3,0.0397232,740.491
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q3,0.0059639,169.344
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q3,0.0177585,553.848
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q3,0.0254239,881.151
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q3,0.0049409,174.708
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q3,0.0309242,1089.245
Industry groups,Construction,SG01RSC04B01EE1,1988Q3,0.0468183,1538.753
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q3,0.0583804,1519.964
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q3,0.0486346,1162.064
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q3,0.0154779,657.107
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q3,0.0542121,1068.286
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q3,0.044038,449.742
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q3,0.0499487,1436.139
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q3,0.0455318,1762.471
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q3,0.0713577,1915.816
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q3,0.0448051,1910.067
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q3,0.012779,531.187
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q3,0.0070176,211.834
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q3,0.0385776,1145.593
Industry groups,Education and training,SG01RSC04B01PP1,1988Q3,0.0394615,1470.782
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q3,0.0425844,1324.8
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q3,0.0087499,317.394
Industry groups,Other services,SG01RSC04B01RS2,1988Q3,0.0168296,454.737
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q3,0.0588185,1723.984
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q4,0.051223,1520.279
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q4,0.0065686,158.893
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q4,0.0073041,236.793
Industry groups,Mining,SG01RSC04B01BB1,1988Q4,0.0125354,436.7
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q4,0.0569065,1109.902
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q4,0.0115823,301.438
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q4,0.0178904,340.445
Industry groups,Printing,SG01RSC04B01CC4,1988Q4,0.0072324,209.166
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q4,0.0397232,743.748
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q4,0.0059639,160.764
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q4,0.0177585,538.122
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1988Q4,0.0254239,849.437
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1988Q4,0.0049409,169.171
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1988Q4,0.0309242,1129.073
Industry groups,Construction,SG01RSC04B01EE1,1988Q4,0.0468183,1506.704
Industry groups,Wholesale trade,SG01RSC04B01FF1,1988Q4,0.0583804,1592.269
Industry groups,Retail trade,SG01RSC04B01GH1,1988Q4,0.0486346,1158.155
Industry groups,Accommodation services,SG01RSC04B01GH2,1988Q4,0.0154779,652.918
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1988Q4,0.0542121,1051.095
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1988Q4,0.044038,450.715
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1988Q4,0.0499487,1462.408
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1988Q4,0.0455318,1780.223
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1988Q4,0.0713577,1886.592
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1988Q4,0.0448051,1900.547
Industry groups,Administrative and support services,SG01RSC04B01MN2,1988Q4,0.012779,531.452
Industry groups,Local Government administration,SG01RSC04B01OO1,1988Q4,0.0070176,217.229
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1988Q4,0.0385776,1142.909
Industry groups,Education and training,SG01RSC04B01PP1,1988Q4,0.0394615,1481.118
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1988Q4,0.0425844,1338.584
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1988Q4,0.0087499,314.705
Industry groups,Other services,SG01RSC04B01RS2,1988Q4,0.0168296,450.41
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1988Q4,0.0588185,1753.21
Industry groups,Agriculture,SG01RSC04B01AA1,1989Q1,0.051223,1469.157
Industry groups,Forestry and logging,SG01RSC04B01AA2,1989Q1,0.0065686,169.905
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1989Q1,0.0073041,245.794
Industry groups,Mining,SG01RSC04B01BB1,1989Q1,0.0125354,664.879
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1989Q1,0.0569065,1105.066
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1989Q1,0.0115823,298.178
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1989Q1,0.0178904,341.895
Industry groups,Printing,SG01RSC04B01CC4,1989Q1,0.0072324,208.508
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1989Q1,0.0397232,803.915
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1989Q1,0.0059639,162.509
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1989Q1,0.0177585,559.526
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1989Q1,0.0254239,873.915
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1989Q1,0.0049409,160.343
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1989Q1,0.0309242,1095.253
Industry groups,Construction,SG01RSC04B01EE1,1989Q1,0.0468183,1522.122
Industry groups,Wholesale trade,SG01RSC04B01FF1,1989Q1,0.0583804,1668.257
Industry groups,Retail trade,SG01RSC04B01GH1,1989Q1,0.0486346,1165.427
Industry groups,Accommodation services,SG01RSC04B01GH2,1989Q1,0.0154779,647.381
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1989Q1,0.0542121,1028.003
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1989Q1,0.044038,458.462
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1989Q1,0.0499487,1455.241
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1989Q1,0.0455318,1765.221
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1989Q1,0.0713577,1861.424
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1989Q1,0.0448051,1949.273
Industry groups,Administrative and support services,SG01RSC04B01MN2,1989Q1,0.012779,544.275
Industry groups,Local Government administration,SG01RSC04B01OO1,1989Q1,0.0070176,220.563
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1989Q1,0.0385776,1158.092
Industry groups,Education and training,SG01RSC04B01PP1,1989Q1,0.0394615,1493.034
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1989Q1,0.0425844,1365.522
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1989Q1,0.0087499,333.946
Industry groups,Other services,SG01RSC04B01RS2,1989Q1,0.0168296,469.115
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1989Q1,0.0588185,1835.29
Industry groups,Agriculture,SG01RSC04B01AA1,1989Q2,0.053386,1405.055
Industry groups,Forestry and logging,SG01RSC04B01AA2,1989Q2,0.0068865,167.968
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1989Q2,0.0074142,242.402
Industry groups,Mining,SG01RSC04B01BB1,1989Q2,0.012016,480.828
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1989Q2,0.0562192,1068.245
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1989Q2,0.0119892,313.793
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1989Q2,0.0190756,350.831
Industry groups,Printing,SG01RSC04B01CC4,1989Q2,0.0071954,214.363
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1989Q2,0.0377425,805.932
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1989Q2,0.0055041,166.736
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1989Q2,0.0195566,562.536
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1989Q2,0.0239928,903.04
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1989Q2,0.0049279,168.706
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1989Q2,0.0311955,1134.173
Industry groups,Construction,SG01RSC04B01EE1,1989Q2,0.0476383,1636.486
Industry groups,Wholesale trade,SG01RSC04B01FF1,1989Q2,0.0522401,1668.656
Industry groups,Retail trade,SG01RSC04B01GH1,1989Q2,0.0467609,1226.63
Industry groups,Accommodation services,SG01RSC04B01GH2,1989Q2,0.0154254,654.854
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1989Q2,0.0536872,1031.658
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1989Q2,0.0404773,475.451
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1989Q2,0.0472555,1399.53
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1989Q2,0.0478143,1808.708
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1989Q2,0.0728304,1840.32
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1989Q2,0.0442026,1966.592
Industry groups,Administrative and support services,SG01RSC04B01MN2,1989Q2,0.0124781,539.028
Industry groups,Local Government administration,SG01RSC04B01OO1,1989Q2,0.0072256,227.729
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1989Q2,0.0393886,1160.71
Industry groups,Education and training,SG01RSC04B01PP1,1989Q2,0.0399625,1506.642
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1989Q2,0.0408506,1322.438
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1989Q2,0.0088215,319.262
Industry groups,Other services,SG01RSC04B01RS2,1989Q2,0.0164347,472.61
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1989Q2,0.0694051,1895.107
Industry groups,Agriculture,SG01RSC04B01AA1,1989Q3,0.053386,1409.832
Industry groups,Forestry and logging,SG01RSC04B01AA2,1989Q3,0.0068865,174.86
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1989Q3,0.0074142,246.427
Industry groups,Mining,SG01RSC04B01BB1,1989Q3,0.012016,534.654
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1989Q3,0.0562192,1054.439
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1989Q3,0.0119892,303.605
